id,sameAs
ocd-division/country:uk/pcon:ashfield,ocd-division/country:gb/part:eng/region:ukf/ed:ashfield
ocd-division/country:uk/pcon:bassetlaw,ocd-division/country:gb/part:eng/region:ukf/ed:bassetlaw
ocd-division/country:uk/pcon:bolsover,ocd-division/country:gb/part:eng/region:ukf/ed:bolsover
ocd-division/country:uk/pcon:boston_and_skegness,ocd-division/country:gb/part:eng/region:ukf/ed:boston_and_skegness
ocd-division/country:uk/pcon:bosworth,ocd-division/country:gb/part:eng/region:ukf/ed:bosworth
ocd-division/country:uk/pcon:broxtowe,ocd-division/country:gb/part:eng/region:ukf/ed:broxtowe
ocd-division/country:uk/pcon:charnwood,ocd-division/country:gb/part:eng/region:ukf/ed:charnwood
ocd-division/country:uk/pcon:chesterfield,ocd-division/country:gb/part:eng/region:ukf/ed:chesterfield
ocd-division/country:uk/pcon:corby,ocd-division/country:gb/part:eng/region:ukf/ed:corby
ocd-division/country:uk/pcon:daventry,ocd-division/country:gb/part:eng/region:ukf/ed:daventry
ocd-division/country:uk/pcon:derby_north,ocd-division/country:gb/part:eng/region:ukf/ed:derby_north
ocd-division/country:uk/pcon:derby_south,ocd-division/country:gb/part:eng/region:ukf/ed:derby_south
ocd-division/country:uk/pcon:derbyshire_dales,ocd-division/country:gb/part:eng/region:ukf/ed:derbyshire_dales
ocd-division/country:uk/pcon:erewash,ocd-division/country:gb/part:eng/region:ukf/ed:erewash
ocd-division/country:uk/pcon:gainsborough,ocd-division/country:gb/part:eng/region:ukf/ed:gainsborough
ocd-division/country:uk/pcon:gedling,ocd-division/country:gb/part:eng/region:ukf/ed:gedling
ocd-division/country:uk/pcon:grantham_and_stamford,ocd-division/country:gb/part:eng/region:ukf/ed:grantham_and_stamford
ocd-division/country:uk/pcon:harborough,ocd-division/country:gb/part:eng/region:ukf/ed:harborough
ocd-division/country:uk/pcon:high_peak,ocd-division/country:gb/part:eng/region:ukf/ed:high_peak
ocd-division/country:uk/pcon:kettering,ocd-division/country:gb/part:eng/region:ukf/ed:kettering
ocd-division/country:uk/pcon:leicester_east,ocd-division/country:gb/part:eng/region:ukf/ed:leicester_east
ocd-division/country:uk/pcon:leicester_south,ocd-division/country:gb/part:eng/region:ukf/ed:leicester_south
ocd-division/country:uk/pcon:leicester_west,ocd-division/country:gb/part:eng/region:ukf/ed:leicester_west
ocd-division/country:uk/pcon:lincoln,ocd-division/country:gb/part:eng/region:ukf/ed:lincoln
ocd-division/country:uk/pcon:loughborough,ocd-division/country:gb/part:eng/region:ukf/ed:loughborough
ocd-division/country:uk/pcon:louth_and_horncastle,ocd-division/country:gb/part:eng/region:ukf/ed:louth_and_horncastle
ocd-division/country:uk/pcon:mansfield,ocd-division/country:gb/part:eng/region:ukf/ed:mansfield
ocd-division/country:uk/pcon:mid_derbyshire,ocd-division/country:gb/part:eng/region:ukf/ed:mid_derbyshire
ocd-division/country:uk/pcon:newark,ocd-division/country:gb/part:eng/region:ukf/ed:newark
ocd-division/country:uk/pcon:north_east_derbyshire,ocd-division/country:gb/part:eng/region:ukf/ed:north_east_derbyshire
ocd-division/country:uk/pcon:north_west_leicestershire,ocd-division/country:gb/part:eng/region:ukf/ed:north_west_leicestershire
ocd-division/country:uk/pcon:northampton_north,ocd-division/country:gb/part:eng/region:ukf/ed:northampton_north
ocd-division/country:uk/pcon:northampton_south,ocd-division/country:gb/part:eng/region:ukf/ed:northampton_south
ocd-division/country:uk/pcon:nottingham_east,ocd-division/country:gb/part:eng/region:ukf/ed:nottingham_east
ocd-division/country:uk/pcon:nottingham_north,ocd-division/country:gb/part:eng/region:ukf/ed:nottingham_north
ocd-division/country:uk/pcon:nottingham_south,ocd-division/country:gb/part:eng/region:ukf/ed:nottingham_south
ocd-division/country:uk/pcon:rushcliffe,ocd-division/country:gb/part:eng/region:ukf/ed:rushcliffe
ocd-division/country:uk/pcon:rutland_and_melton,ocd-division/country:gb/part:eng/region:ukf/ed:rutland_and_melton
ocd-division/country:uk/pcon:sherwood,ocd-division/country:gb/part:eng/region:ukf/ed:sherwood
ocd-division/country:uk/pcon:sleaford_and_north_hykeham,ocd-division/country:gb/part:eng/region:ukf/ed:sleaford_and_north_hykeham
ocd-division/country:uk/pcon:south_derbyshire,ocd-division/country:gb/part:eng/region:ukf/ed:south_derbyshire
ocd-division/country:uk/pcon:south_holland_and_the_deepings,ocd-division/country:gb/part:eng/region:ukf/ed:south_holland_and_the_deepings
ocd-division/country:uk/pcon:south_leicestershire,ocd-division/country:gb/part:eng/region:ukf/ed:south_leicestershire
ocd-division/country:uk/pcon:south_northamptonshire,ocd-division/country:gb/part:eng/region:ukf/ed:south_northamptonshire
ocd-division/country:uk/pcon:wellingborough,ocd-division/country:gb/part:eng/region:ukf/ed:wellingborough
ocd-division/country:uk/pcon:aldridge-brownhills,ocd-division/country:gb/part:eng/region:ukg/ed:aldridge-brownhills
ocd-division/country:uk/pcon:birmingham_edgbaston,ocd-division/country:gb/part:eng/region:ukg/ed:birmingham_edgbaston
ocd-division/country:uk/pcon:birmingham_erdington,ocd-division/country:gb/part:eng/region:ukg/ed:birmingham_erdington
ocd-division/country:uk/pcon:birmingham_hall_green,ocd-division/country:gb/part:eng/region:ukg/ed:birmingham_hall_green
