id,name,ordnance_id
ocd-division/country:uk/cty:cambridgeshire_county/diw:st_neots_eynesbury_ward,St. Neots Eynesbury Ward,E05008533
ocd-division/country:uk/cty:cambridgeshire_county/diw:st_neots_eaton_ford_ward,St. Neots Eaton Ford Ward,E05008581
ocd-division/country:uk/cty:cambridgeshire_county/diw:huntingdon_west_ward,Huntingdon West Ward,E05008529
ocd-division/country:uk/cty:cambridgeshire_county/diw:huntingdon_east_ward,Huntingdon East Ward,E05002771
ocd-division/country:uk/cty:cambridgeshire_county/diw:huntingdon_north_ward,Huntingdon North Ward,E05002772
ocd-division/country:uk/cty:cambridgeshire_county/diw:st_ives_south_ward,St. Ives South Ward,E05008580
ocd-division/country:uk/cty:cambridgeshire_county/diw:st_ives_east_ward,St. Ives East Ward,E05008937
ocd-division/country:uk/cty:cambridgeshire_county/diw:st_ives_west_ward,St. Ives West Ward,E05002779
ocd-division/country:uk/cty:cambridgeshire_county/diw:trumpington_ward,Trumpington Ward,E05002714
ocd-division/country:uk/cty:cambridgeshire_county/diw:newnham_ward,Newnham Ward,E05002710
ocd-division/country:uk/cty:cambridgeshire_county/diw:castle_ward,Castle Ward,E05002704
ocd-division/country:uk/cty:cambridgeshire_county/diw:east_chesterton_ward,East Chesterton Ward,E05002707
ocd-division/country:uk/cty:cambridgeshire_county/diw:queen_ediths_ward,Queen Edith's Ward,E05002712
ocd-division/country:uk/cty:cambridgeshire_county/diw:market_ward,Market Ward,E05002709
ocd-division/country:uk/cty:cambridgeshire_county/diw:arbury_ward,Arbury Ward,E05002703
ocd-division/country:uk/cty:cambridgeshire_county/diw:west_chesterton_ward,West Chesterton Ward,E05002715
ocd-division/country:uk/cty:cambridgeshire_county/diw:kings_hedges_ward,King's Hedges Ward,E05002708
ocd-division/country:uk/cty:cambridgeshire_county/diw:coleridge_ward,Coleridge Ward,E05002706
ocd-division/country:uk/cty:cambridgeshire_county/diw:cherry_hinton_ward,Cherry Hinton Ward,E05002705
ocd-division/country:uk/cty:cambridgeshire_county/diw:abbey_ward,Abbey Ward,E05002702
ocd-division/country:uk/cty:cambridgeshire_county/diw:petersfield_ward,Petersfield Ward,E05002711
ocd-division/country:uk/cty:cambridgeshire_county/diw:romsey_ward,Romsey Ward,E05002713
ocd-division/country:uk/cty:cumbria_county/diw:millom_without_ward,Millom Without Ward,E05003198
ocd-division/country:uk/cty:cumbria_county/diw:seascale_ward,Seascale Ward,E05003204
ocd-division/country:uk/cty:cumbria_county/diw:gosforth_ward,Gosforth Ward,E05003191
ocd-division/country:uk/cty:cumbria_county/diw:ennerdale_ward,Ennerdale Ward,E05003189
ocd-division/country:uk/cty:cumbria_county/diw:newtown_ward,Newtown Ward,E05003201
ocd-division/country:uk/cty:cumbria_county/diw:st_bees_ward,St. Bees Ward,E05003202
ocd-division/country:uk/cty:cumbria_county/diw:beckermet_ward,Beckermet Ward,E05003181
ocd-division/country:uk/cty:cumbria_county/diw:egremont_south_ward,Egremont South Ward,E05003188
ocd-division/country:uk/cty:cumbria_county/diw:sandwith_ward,Sandwith Ward,E05003203
ocd-division/country:uk/cty:cumbria_county/diw:distington_ward,Distington Ward,E05003186
ocd-division/country:uk/cty:cumbria_county/diw:arlecdon_ward,Arlecdon Ward,E05003180
ocd-division/country:uk/cty:cumbria_county/diw:bootle_ward,Bootle Ward,E05003182
ocd-division/country:uk/cty:cumbria_county/diw:haverigg_ward,Haverigg Ward,E05003193
ocd-division/country:uk/cty:cumbria_county/diw:egremont_north_ward,Egremont North Ward,E05003187
ocd-division/country:uk/cty:cumbria_county/diw:cleator_moor_south_ward,Cleator Moor South Ward,E05003185
ocd-division/country:uk/cty:cumbria_county/diw:mirehouse_ward,Mirehouse Ward,E05003199
ocd-division/country:uk/cty:cumbria_county/diw:bransty_ward,Bransty Ward,E05003183
ocd-division/country:uk/cty:cumbria_county/diw:moresby_ward,Moresby Ward,E05003200
ocd-division/country:uk/cty:cumbria_county/diw:frizington_ward,Frizington Ward,E05003190
ocd-division/country:uk/cty:cumbria_county/diw:holborn_hill_ward,Holborn Hill Ward,E05003196
ocd-division/country:uk/cty:cumbria_county/diw:cleator_moor_north_ward,Cleator Moor North Ward,E05003184
ocd-division/country:uk/cty:cumbria_county/diw:kells_ward,Kells Ward,E05003197
ocd-division/country:uk/cty:cumbria_county/diw:harbour_ward,Harbour Ward,E05003192
ocd-division/country:uk/cty:cumbria_county/diw:hensingham_ward,Hensingham Ward,E05003194
ocd-division/country:uk/cty:cumbria_county/diw:hillcrest_ward,Hillcrest Ward,E05003195
ocd-division/country:uk/cty:cumbria_county/diw:lyne_ward,Lyne Ward,E05003172
ocd-division/country:uk/cty:cumbria_county/diw:longtown_rockcliffe_ward,Longtown & Rockcliffe Ward,E05003171
ocd-division/country:uk/cty:cumbria_county/diw:irthing_ward,Irthing Ward,E05003170
ocd-division/country:uk/cty:cumbria_county/diw:dalston_ward,Dalston Ward,E05003165
ocd-division/country:uk/cty:cumbria_county/diw:wetheral_ward,Wetheral Ward,E05003178
ocd-division/country:uk/cty:cumbria_county/diw:stanwix_rural_ward,Stanwix Rural Ward,E05003175
ocd-division/country:uk/cty:cumbria_county/diw:great_corby_and_geltsdale_ward,Great Corby and Geltsdale Ward,E05003167
ocd-division/country:uk/cty:cumbria_county/diw:burgh_ward,Burgh Ward,E05003162
ocd-division/country:uk/cty:cumbria_county/diw:brampton_ward,Brampton Ward,E05003161
ocd-division/country:uk/cty:cumbria_county/diw:belah_ward,Belah Ward,E05003158
ocd-division/country:uk/cty:cumbria_county/diw:botcherby_ward,Botcherby Ward,E05003160
ocd-division/country:uk/cty:cumbria_county/diw:hayton_ward,Hayton Ward,E05003169
ocd-division/country:uk/cty:cumbria_county/diw:morton_ward,Morton Ward,E05003173
ocd-division/country:uk/cty:cumbria_county/diw:yewdale_ward,Yewdale Ward,E05003179
ocd-division/country:uk/cty:cumbria_county/diw:currock_ward,Currock Ward,E05003164
ocd-division/country:uk/cty:cumbria_county/diw:denton_holme_ward,Denton Holme Ward,E05003166
ocd-division/country:uk/cty:cumbria_county/diw:belle_vue_ward,Belle Vue Ward,E05003159
ocd-division/country:uk/cty:cumbria_county/diw:castle_ward,Castle Ward,E05003163
ocd-division/country:uk/cty:cumbria_county/diw:stanwix_urban_ward,Stanwix Urban Ward,E05003176
ocd-division/country:uk/cty:cumbria_county/diw:upperby_ward,Upperby Ward,E05003177
ocd-division/country:uk/cty:cumbria_county/diw:harraby_ward,Harraby Ward,E05003168
ocd-division/country:uk/cty:cumbria_county/diw:st_aidans_ward,St. Aidans Ward,E05003174
ocd-division/country:uk/cty:cumbria_county/diw:broughton_ward,Broughton Ward,E05003237
ocd-division/country:uk/cty:cumbria_county/diw:staveley-in-westmorland_ward,Staveley-in-Westmorland Ward,E05003268
