id,name,ordnance_id,sameAs
ocd-division/country:uk/cty:cambridgeshire/cpc:doddington,Doddington,E04001657,
ocd-division/country:uk/cty:cambridgeshire/cpc:manea,Manea,E04012517,
ocd-division/country:uk/cty:cambridgeshire/cpc:wimblington,Wimblington,E04001667,
ocd-division/country:uk/cty:cambridgeshire/cpc:march,March,E04001661,
ocd-division/country:uk/cty:cambridgeshire/cpc:christchurch,Christchurch,E04001665,
ocd-division/country:uk/cty:cambridgeshire/cpc:wisbech_st_mary,Wisbech St. Mary,E04001669,
ocd-division/country:uk/cty:cambridgeshire/cpc:benwick,Benwick,E04001655,
ocd-division/country:uk/cty:cambridgeshire/cpc:parson_drove,Parson Drove,E04001663,
ocd-division/country:uk/cty:cambridgeshire/cpc:gorefield,Gorefield,E04001670,
ocd-division/country:uk/cty:cambridgeshire/cpc:leverington,Leverington,E04001659,
ocd-division/country:uk/cty:cambridgeshire/cpc:newton-in-the-isle,Newton-in-the-Isle,E04001662,
ocd-division/country:uk/cty:cambridgeshire/cpc:wisbech,Wisbech,E04001668,
ocd-division/country:uk/cty:cambridgeshire/cpc:steeple_morden,Steeple Morden,E04001841,
ocd-division/country:uk/cty:cambridgeshire/cpc:bassingbourn_cum_kneesworth,Bassingbourn cum Kneesworth,E04001764,
ocd-division/country:uk/cty:cambridgeshire/cpc:gamlingay,Gamlingay,E04001787,
ocd-division/country:uk/cty:cambridgeshire/cpc:melbourn,Melbourn,E04001825,
ocd-division/country:uk/cty:cambridgeshire/cpc:west_wratting,West Wratting,E04001851,
ocd-division/country:uk/cty:cambridgeshire/cpc:weston_colville,Weston Colville,E04001849,
ocd-division/country:uk/cty:cambridgeshire/cpc:cottenham,Cottenham,E04001775,
ocd-division/country:uk/cty:cambridgeshire/cpc:waterbeach,Waterbeach,E04001848,
ocd-division/country:uk/cty:cambridgeshire/cpc:little_wilbraham,Little Wilbraham,E04001820,
ocd-division/country:uk/cty:cambridgeshire/cpc:carlton,Carlton,E04001768,
ocd-division/country:uk/cty:cambridgeshire/cpc:guilden_morden,Guilden Morden,E04001796,
ocd-division/country:uk/cty:cambridgeshire/cpc:litlington,Litlington,E04001815,
ocd-division/country:uk/cty:cambridgeshire/cpc:abington_pigotts,Abington Pigotts,E04001756,
ocd-division/country:uk/cty:cambridgeshire/cpc:tadlow,Tadlow,E04001844,
ocd-division/country:uk/cty:cambridgeshire/cpc:shingay_cum_wendy,Shingay cum Wendy,E04001838,
ocd-division/country:uk/cty:cambridgeshire/cpc:hatley,Hatley,E04001801,
ocd-division/country:uk/cty:cambridgeshire/cpc:little_gransden,Little Gransden,E04001818,
ocd-division/country:uk/cty:cambridgeshire/cpc:croydon,Croydon,E04001777,
ocd-division/country:uk/cty:cambridgeshire/cpc:arrington,Arrington,E04001757,
ocd-division/country:uk/cty:cambridgeshire/cpc:wimpole,Wimpole,E04001855,
ocd-division/country:uk/cty:cambridgeshire/cpc:longstowe,Longstowe,E04001823,
ocd-division/country:uk/cty:cambridgeshire/cpc:caxton,Caxton,E04001770,
ocd-division/country:uk/cty:cambridgeshire/cpc:bourn,Bourn,E04001765,
ocd-division/country:uk/cty:cambridgeshire/cpc:caldecote,Caldecote,E04001767,
ocd-division/country:uk/cty:cambridgeshire/cpc:eltisley,Eltisley,E04001781,
ocd-division/country:uk/cty:cambridgeshire/cpc:graveley,Graveley,E04001790,
ocd-division/country:uk/cty:cambridgeshire/cpc:papworth_everard,Papworth Everard,E04001833,
ocd-division/country:uk/cty:cambridgeshire/cpc:elsworth,Elsworth,E04001780,
ocd-division/country:uk/cty:cambridgeshire/cpc:boxworth,Boxworth,E04001766,
ocd-division/country:uk/cty:cambridgeshire/cpc:conington,Conington,E04001773,
ocd-division/country:uk/cty:cambridgeshire/cpc:fen_drayton,Fen Drayton,E04001783,
ocd-division/country:uk/cty:cambridgeshire/cpc:great_and_little_chishill,Great and Little Chishill,E04001792,
ocd-division/country:uk/cty:cambridgeshire/cpc:ickleton,Ickleton,E04001809,
ocd-division/country:uk/cty:cambridgeshire/cpc:meldreth,Meldreth,E04001826,
ocd-division/country:uk/cty:cambridgeshire/cpc:fowlmere,Fowlmere,E04001784,
ocd-division/country:uk/cty:cambridgeshire/cpc:thriplow,Thriplow,E04001846,
ocd-division/country:uk/cty:cambridgeshire/cpc:shepreth,Shepreth,E04001837,
ocd-division/country:uk/cty:cambridgeshire/cpc:foxton,Foxton,E04001785,
ocd-division/country:uk/cty:cambridgeshire/cpc:orwell,Orwell,E04001830,
ocd-division/country:uk/cty:cambridgeshire/cpc:barrington,Barrington,E04001761,
ocd-division/country:uk/cty:cambridgeshire/cpc:great_eversden,Great Eversden,E04001793,
ocd-division/country:uk/cty:cambridgeshire/cpc:harlton,Harlton,E04001798,
ocd-division/country:uk/cty:cambridgeshire/cpc:newton,Newton,E04001828,
ocd-division/country:uk/cty:cambridgeshire/cpc:harston,Harston,E04001799,
ocd-division/country:uk/cty:cambridgeshire/cpc:haslingfield,Haslingfield,E04001800,
ocd-division/country:uk/cty:cambridgeshire/cpc:duxford,Duxford,E04012081,
ocd-division/country:uk/cty:cambridgeshire/cpc:whittlesford,Whittlesford,E04012082,
ocd-division/country:uk/cty:cambridgeshire/cpc:great_abington,Great Abington,E04001791,
ocd-division/country:uk/cty:cambridgeshire/cpc:hildersham,Hildersham,E04001804,
ocd-division/country:uk/cty:cambridgeshire/cpc:sawston,Sawston,E04001836,
ocd-division/country:uk/cty:cambridgeshire/cpc:great_shelford,Great Shelford,E04001794,
ocd-division/country:uk/cty:cambridgeshire/cpc:stapleford,Stapleford,E04001840,
ocd-division/country:uk/cty:cambridgeshire/cpc:babraham,Babraham,E04001758,
ocd-division/country:uk/cty:cambridgeshire/cpc:little_abington,Little Abington,E04001816,
ocd-division/country:uk/cty:cambridgeshire/cpc:castle_camps,Castle Camps,E04001769,
ocd-division/country:uk/cty:cambridgeshire/cpc:linton,Linton,E04001814,
ocd-division/country:uk/cty:cambridgeshire/cpc:shudy_camps,Shudy Camps,E04001839,
ocd-division/country:uk/cty:cambridgeshire/cpc:horseheath,Horseheath,E04001808,
ocd-division/country:uk/cty:cambridgeshire/cpc:balsham,Balsham,E04001759,
ocd-division/country:uk/cty:cambridgeshire/cpc:west_wickham,West Wickham,E04001850,
ocd-division/country:uk/cty:cambridgeshire/cpc:barton,Barton,E04001763,
ocd-division/country:uk/cty:cambridgeshire/cpc:comberton,Comberton,E04001772,
ocd-division/country:uk/cty:cambridgeshire/cpc:dry_drayton,Dry Drayton,E04001778,
ocd-division/country:uk/cty:cambridgeshire/cpc:madingley,Madingley,E04001824,
ocd-division/country:uk/cty:cambridgeshire/cpc:girton,Girton,E04001788,
ocd-division/country:uk/cty:cambridgeshire/cpc:impington,Impington,E04010465,
ocd-division/country:uk/cty:cambridgeshire/cpc:histon,Histon,E04001806,
ocd-division/country:uk/cty:cambridgeshire/cpc:fulbourn,Fulbourn,E04001786,
ocd-division/country:uk/cty:cambridgeshire/cpc:milton,Milton,E04010466,
ocd-division/country:uk/cty:cambridgeshire/cpc:fen_ditton,Fen Ditton,E04001782,
ocd-division/country:uk/cty:cambridgeshire/cpc:stow_cum_quy,Stow cum Quy,E04001842,
ocd-division/country:uk/cty:cambridgeshire/cpc:horningsea,Horningsea,E04001807,
