id,name,ordnance_id,sameAs
ocd-division/country:uk/ute:st_mawgan_and_colan,St. Mawgan and Colan,E05009260,
ocd-division/country:uk/ute:liskeard_west_and_dobwalls,Liskeard West and Dobwalls,E05009203,
ocd-division/country:uk/ute:st_dominick_harrowbarrow_and_kelly_bray,"St. Dominick, Harrowbarrow and Kelly Bray",E05009252,
ocd-division/country:uk/ute:newlyn_and_mousehole,Newlyn and Mousehole,E05009217,
ocd-division/country:uk/ute:gulval_and_heamoor,Gulval and Heamoor,E05009186,
ocd-division/country:uk/ute:porthleven_and_helston_west,Porthleven and Helston West,E05009233,
ocd-division/country:uk/ute:helston_south,Helston South,E05009192,
ocd-division/country:uk/ute:falmouth_boslowick,Falmouth Boslowick,E05009178,
ocd-division/country:uk/ute:falmouth_arwenack,Falmouth Arwenack,E05009177,
ocd-division/country:uk/ute:st_ives_east,St. Ives East,E05009256,
ocd-division/country:uk/ute:lelant_and_carbis_bay,Lelant and Carbis Bay,E05009200,
ocd-division/country:uk/ute:hayle_north,Hayle North,E05009189,
ocd-division/country:uk/ute:camborne_pendarves,Camborne Pendarves,E05009167,
ocd-division/country:uk/ute:camborne_roskear,Camborne Roskear,E05009168,
ocd-division/country:uk/ute:four_lanes,Four Lanes,E05009183,
ocd-division/country:uk/ute:threemilestone_and_gloweth,Threemilestone and Gloweth,E05009270,
ocd-division/country:uk/ute:truro_trehaverne,Truro Trehaverne,E05009278,
ocd-division/country:uk/ute:truro_boscawen,Truro Boscawen,E05009275,
ocd-division/country:uk/ute:newquay_pentire,Newquay Pentire,E05009219,
ocd-division/country:uk/ute:newquay_central,Newquay Central,E05009218,
ocd-division/country:uk/ute:newquay_tretherras,Newquay Tretherras,E05009221,
ocd-division/country:uk/ute:par_and_st_blazey_gate,Par and St. Blazey Gate,E05009224,
ocd-division/country:uk/ute:looe_east,Looe East,E05009204,
ocd-division/country:uk/ute:saltash_north,Saltash North,E05009266,
ocd-division/country:uk/ute:saltash_east,Saltash East,E05009265,
ocd-division/country:uk/ute:wadebridge_west,Wadebridge West,E05009280,
ocd-division/country:uk/ute:bodmin_st_marys,Bodmin St. Mary's,E05009161,
ocd-division/country:uk/ute:bodmin_st_leonard,Bodmin St. Leonard,E05009160,
ocd-division/country:uk/ute:bodmin_st_petroc,Bodmin St. Petroc,E05009162,
ocd-division/country:uk/ute:liskeard_north,Liskeard North,E05009202,
ocd-division/country:uk/ute:callington,Callington,E05009166,
ocd-division/country:uk/ute:gunnislake_and_calstock,Gunnislake and Calstock,E05009187,
ocd-division/country:uk/ute:launceston_south,Launceston South,E05009199,
ocd-division/country:uk/ute:launceston_central,Launceston Central,E05009197,
ocd-division/country:uk/ute:bude,Bude,E05009164,
ocd-division/country:uk/ute:penzance_promenade,Penzance Promenade,E05009230,
ocd-division/country:uk/ute:penzance_east,Penzance East,E05009229,
ocd-division/country:uk/ute:helston_north,Helston North,E05009191,
ocd-division/country:uk/ute:falmouth_smithick,Falmouth Smithick,E05009180,
ocd-division/country:uk/ute:penryn_west,Penryn West,E05009226,
ocd-division/country:uk/ute:falmouth_trescobeas,Falmouth Trescobeas,E05009181,
ocd-division/country:uk/ute:falmouth_penwerris,Falmouth Penwerris,E05009179,
ocd-division/country:uk/ute:camborne_trelowarren,Camborne Trelowarren,E05009169,
ocd-division/country:uk/ute:redruth_south,Redruth South,E05009239,
ocd-division/country:uk/ute:redruth_central,Redruth Central,E05009237,
ocd-division/country:uk/ute:truro_redannick,Truro Redannick,E05009276,
ocd-division/country:uk/ute:truro_tregolls,Truro Tregolls,E05009277,
ocd-division/country:uk/ute:newquay_treloggan,Newquay Treloggan,E05009220,
ocd-division/country:uk/ute:newquay_treviglas,Newquay Treviglas,E05009222,
ocd-division/country:uk/ute:st_austell_gover,St. Austell Gover,E05009245,
ocd-division/country:uk/ute:mount_charles,Mount Charles,E05009213,
ocd-division/country:uk/ute:st_austell_poltair,St. Austell Poltair,E05009246,
ocd-division/country:uk/ute:st_austell_bethel,St. Austell Bethel,E05009244,
ocd-division/country:uk/ute:torpoint_west,Torpoint West,E05009273,
ocd-division/country:uk/ute:torpoint_east,Torpoint East,E05009272,
ocd-division/country:uk/ute:saltash_south,Saltash South,E05009267,
ocd-division/country:uk/ute:liskeard_east,Liskeard East,E05009201,
ocd-division/country:uk/ute:tintagel_det,Tintagel (DET),E05009271,
ocd-division/country:uk/ute:penzance_central,Penzance Central,E05009228,
ocd-division/country:uk/ute:barnard_castle_east,Barnard Castle East,E05009034,
ocd-division/country:uk/ute:barnard_castle_west,Barnard Castle West,E05009035,
ocd-division/country:uk/ute:blackhalls,Blackhalls,E05009040,
ocd-division/country:uk/ute:evenwood,Evenwood,E05009062,
ocd-division/country:uk/ute:sedgefield,Sedgefield,E05009078,
ocd-division/country:uk/ute:trimdon_and_thornley,Trimdon and Thornley,E05009086,
ocd-division/country:uk/ute:lanchester,Lanchester,E05009066,
ocd-division/country:uk/ute:weardale,Weardale,E05009088,
ocd-division/country:uk/ute:esh_and_witton_gilbert,Esh and Witton Gilbert,E05009061,
ocd-division/country:uk/ute:deerness,Deerness,E05009055,
ocd-division/country:uk/ute:aycliffe_east,Aycliffe East,E05009031,
ocd-division/country:uk/ute:crook,Crook,E05009053,
ocd-division/country:uk/ute:willington_and_hunwick,Willington and Hunwick,E05009090,
ocd-division/country:uk/ute:tow_law,Tow Law,E05009085,
ocd-division/country:uk/ute:brandon,Brandon,E05009041,
ocd-division/country:uk/ute:ferryhill,Ferryhill,E05009063,
ocd-division/country:uk/ute:wingate,Wingate,E05009091,
ocd-division/country:uk/ute:durham_south,Durham South,E05009058,
ocd-division/country:uk/ute:coxhoe,Coxhoe,E05009051,
ocd-division/country:uk/ute:sherburn,Sherburn,E05009079,
ocd-division/country:uk/ute:shotton_and_south_hetton,Shotton and South Hetton,E05009081,
ocd-division/country:uk/ute:easington,Easington,E05009059,
ocd-division/country:uk/ute:leadgate_and_medomsley,Leadgate and Medomsley,E05009067,
ocd-division/country:uk/ute:sacriston,Sacriston,E05009076,
ocd-division/country:uk/ute:craghead_and_south_moor,Craghead and South Moor,E05009052,
ocd-division/country:uk/ute:pelton,Pelton,E05009073,
ocd-division/country:uk/ute:west_auckland,West Auckland,E05009089,
ocd-division/country:uk/ute:aycliffe_west,Aycliffe West,E05009033,
ocd-division/country:uk/ute:shildon_and_dene_valley,Shildon and Dene Valley,E05009080,
ocd-division/country:uk/ute:bishop_auckland_town,Bishop Auckland Town,E05009038,
ocd-division/country:uk/ute:aycliffe_north_and_middridge,Aycliffe North and Middridge,E05009032,
ocd-division/country:uk/ute:chilton,Chilton,E05009047,
ocd-division/country:uk/ute:consett_south,Consett South,E05009049,
ocd-division/country:uk/ute:coundon,Coundon,E05009050,
ocd-division/country:uk/ute:spennymoor,Spennymoor,E05009082,
ocd-division/country:uk/ute:tudhoe,Tudhoe,E05009087,
ocd-division/country:uk/ute:nevilles_cross,Neville's Cross,E05009070,
ocd-division/country:uk/ute:framwellgate_and_newton_hall,Framwellgate and Newton Hall,E05009064,
ocd-division/country:uk/ute:bishop_middleham_and_cornforth,Bishop Middleham and Cornforth,E05009039,
ocd-division/country:uk/ute:belmont,Belmont,E05009036,
ocd-division/country:uk/ute:peterlee_east,Peterlee East,E05009074,
ocd-division/country:uk/ute:horden,Horden,E05009065,
ocd-division/country:uk/ute:murton,Murton,E05009069,
ocd-division/country:uk/ute:annfield_plain,Annfield Plain,E05009030,
ocd-division/country:uk/ute:burnopfield_and_dipton,Burnopfield and Dipton,E05009042,
ocd-division/country:uk/ute:tanfield,Tanfield,E05009084,
ocd-division/country:uk/ute:chester-le-street_south,Chester-le-Street South,E05009045,
ocd-division/country:uk/ute:chester-le-street_west_central,Chester-le-Street West Central,E05009046,
ocd-division/country:uk/ute:north_lodge,North Lodge,E05009071,
ocd-division/country:uk/ute:lumley,Lumley,E05009068,
ocd-division/country:uk/ute:seaham,Seaham,E05009077,
ocd-division/country:uk/ute:woodhouse_close,Woodhouse Close,E05009092,
ocd-division/country:uk/ute:delves_lane,Delves Lane,E05009056,
ocd-division/country:uk/ute:benfieldside,Benfieldside,E05009037,
ocd-division/country:uk/ute:consett_north,Consett North,E05009048,
ocd-division/country:uk/ute:elvet_and_gilesgate,Elvet and Gilesgate,E05009060,
