id,name,validFrom,validThrough
ocd-division/country:ca/province:ns/ed:annapolis-kings,Annapolis—Kings,1949-04-30,1953-06-12
ocd-division/country:ca/province:ns/ed:annapolis_valley,Annapolis Valley,1968-04-23,1979-03-25
ocd-division/country:ca/province:ns/ed:antigonish,Antigonish,1867-08-06,1917-10-05
ocd-division/country:ca/province:ns/ed:antigonish-guysborough,Antigonish—Guysborough,1917-10-06,1968-04-22
ocd-division/country:ca/province:ns/ed:bras_d~or-cape_breton,Bras d'Or—Cape Breton,1998-06-18,2004-05-22
ocd-division/country:ca/province:ns/ed:cape_breton,Cape Breton,1867-08-06,1904-09-19
ocd-division/country:ca/province:ns/ed:cape_breton-east_richmond,Cape Breton—East Richmond,1968-04-23,1997-04-26
ocd-division/country:ca/province:ns/ed:cape_breton-the_sydneys,Cape Breton—The Sydneys,1968-04-23,1997-04-26
ocd-division/country:ca/province:ns/ed:cape_breton_highlands-canso,Cape Breton Highlands—Canso,1968-04-23,1997-04-26
ocd-division/country:ca/province:ns/ed:cape_breton_north_and_victoria,Cape Breton North and Victoria,1935-08-14,1968-04-22
ocd-division/country:ca/province:ns/ed:cape_breton_south,Cape Breton South,1904-09-20,1917-10-05
ocd-division/country:ca/province:ns/ed:cape_breton_south-1925,Cape Breton South,1925-09-05,1968-04-22
ocd-division/country:ca/province:ns/ed:cape_breton_south_and_richmond,Cape Breton South and Richmond,1917-10-06,1925-09-04
ocd-division/country:ca/province:ns/ed:central_nova,Central Nova,1968-04-23,1997-04-26
ocd-division/country:ca/province:ns/ed:colchester,Colchester,1867-08-06,1935-08-13
ocd-division/country:ca/province:ns/ed:colchester-hants,Colchester—Hants,1935-08-14,1968-04-22
ocd-division/country:ca/province:ns/ed:cumberland,Cumberland,1867-08-06,1968-04-22
ocd-division/country:ca/province:ns/ed:cumberland-colchester,Cumberland—Colchester,1979-03-26,2004-05-22
ocd-division/country:ca/province:ns/ed:cumberland-colchester-musquodoboit_valley,Cumberland—Colchester—Musquodoboit Valley,2004-09-01,2015-08-01
ocd-division/country:ca/province:ns/ed:cumberland-colchester_north,Cumberland—Colchester North,1968-04-23,1979-03-25
ocd-division/country:ca/province:ns/ed:dartmouth,Dartmouth,1988-10-01,2004-05-22
ocd-division/country:ca/province:ns/ed:dartmouth-halifax_east,Dartmouth—Halifax East,1968-04-23,1988-09-30
ocd-division/country:ca/province:ns/ed:digby,Digby,1867-08-06,1917-10-05
ocd-division/country:ca/province:ns/ed:digby-annapolis,Digby—Annapolis,1925-09-05,1935-08-13
