id,name,validFrom
ocd-division/country:ca/province:qc/fed:hull-aylmer,Hull—Aylmer,1984-07-09
ocd-division/country:ca/province:qc/fed:joliette-1968,Joliette,1968-04-23
ocd-division/country:ca/province:qc/fed:jonquière-2015,Jonquière,2015-08-02
ocd-division/country:ca/province:qc/fed:la_pointe-de-l~île,La Pointe-de-l'Île,2004-05-23
ocd-division/country:ca/province:qc/fed:la_prairie,La Prairie,2015-08-02
ocd-division/country:ca/province:qc/fed:lac-saint-jean,Lac-Saint-Jean,2015-08-02
ocd-division/country:ca/province:qc/fed:lac-saint-louis,Lac-Saint-Louis,1997-04-27
ocd-division/country:ca/province:qc/fed:lasalle-émard-verdun,LaSalle—Émard—Verdun,2015-08-02
ocd-division/country:ca/province:qc/fed:laurentides-labelle,Laurentides—Labelle,2004-05-23
ocd-division/country:ca/province:qc/fed:laurier-sainte-marie-2004,Laurier—Sainte-Marie,2004-09-01
ocd-division/country:ca/province:qc/fed:laval-les_îles,Laval—Les Îles,2004-05-23
ocd-division/country:ca/province:qc/fed:longueuil-charles-lemoyne,Longueuil—Charles-LeMoyne,2015-08-02
ocd-division/country:ca/province:qc/fed:longueuil-saint-hubert,Longueuil—Saint-Hubert,2015-08-02
ocd-division/country:ca/province:qc/fed:louis-hébert,Louis-Hébert,1968-04-23
ocd-division/country:ca/province:qc/fed:louis-saint-laurent,Louis-Saint-Laurent,2004-05-23
ocd-division/country:ca/province:qc/fed:lévis-lotbinière,Lévis—Lotbinière,2015-08-02
ocd-division/country:ca/province:qc/fed:manicouagan,Manicouagan,1968-04-23
ocd-division/country:ca/province:qc/fed:marc-aurèle-fortin,Marc-Aurèle-Fortin,2015-08-02
ocd-division/country:ca/province:qc/fed:mirabel,Mirabel,2015-08-02
ocd-division/country:ca/province:qc/fed:montarville,Montarville,2015-08-02
ocd-division/country:ca/province:qc/fed:montcalm-2004,Montcalm,2004-05-23
ocd-division/country:ca/province:qc/fed:montmagny-l~islet-kamouraska-rivière-du-loup,Montmagny—L’Islet—Kamouraska—Rivière-du-Loup,2004-09-01
ocd-division/country:ca/province:qc/fed:mount_royal-2015,Mount Royal,2015-08-02
ocd-division/country:ca/province:qc/fed:mégantic-l~érable,Mégantic—L'Érable,2004-05-23
ocd-division/country:ca/province:qc/fed:notre-dame-de-grâce-westmount,Notre-Dame-de-Grâce—Westmount,2015-08-02
ocd-division/country:ca/province:qc/fed:outremont-1968,Outremont,1968-04-23
ocd-division/country:ca/province:qc/fed:papineau-2004,Papineau,2004-05-23
ocd-division/country:ca/province:qc/fed:pierre-boucher-les_patriotes-verchères,Pierre-Boucher—Les Patriotes—Verchères,2015-08-02
ocd-division/country:ca/province:qc/fed:pierrefonds-dollard,Pierrefonds—Dollard,1988-10-01
ocd-division/country:ca/province:qc/fed:pontiac-2004,Pontiac,2004-05-23
ocd-division/country:ca/province:qc/fed:portneuf-jacques-cartier,Portneuf—Jacques-Cartier,2004-09-01
ocd-division/country:ca/province:qc/fed:québec,Québec,1990-12-19
ocd-division/country:ca/province:qc/fed:repentigny,Repentigny,1997-04-27
ocd-division/country:ca/province:qc/fed:richmond-arthabaska,Richmond—Arthabaska,1997-04-27
ocd-division/country:ca/province:qc/fed:rimouski-neigette-témiscouata-les_basques,Rimouski-Neigette—Témiscouata—Les Basques,2015-08-02
ocd-division/country:ca/province:qc/fed:rivière-des-mille-îles,Rivière-des-Mille-Îles,1998-06-18
ocd-division/country:ca/province:qc/fed:rivière-du-nord,Rivière-du-Nord,2004-05-23
ocd-division/country:ca/province:qc/fed:rosemont-la_petite-patrie,Rosemont—La Petite-Patrie,2004-05-23
ocd-division/country:ca/province:qc/fed:saint-hyacinthe-bagot-1981,Saint-Hyacinthe—Bagot,1981-01-17
ocd-division/country:ca/province:qc/fed:saint-jean,Saint-Jean,1968-04-23
ocd-division/country:ca/province:qc/fed:saint-laurent,Saint-Laurent,2015-08-02
ocd-division/country:ca/province:qc/fed:saint-léonard-saint-michel,Saint-Léonard—Saint-Michel,1997-04-27
ocd-division/country:ca/province:qc/fed:saint-maurice-champlain,Saint-Maurice—Champlain,2004-05-23
ocd-division/country:ca/province:qc/fed:salaberry-suroît,Salaberry—Suroît,2015-08-02
ocd-division/country:ca/province:qc/fed:shefford,Shefford,1867-08-06
ocd-division/country:ca/province:qc/fed:sherbrooke,Sherbrooke,1925-09-05
ocd-division/country:ca/province:qc/fed:terrebonne,Terrebonne,2015-08-02
ocd-division/country:ca/province:qc/fed:thérèse-de_blainville,Thérèse-De Blainville,2015-08-02
ocd-division/country:ca/province:qc/fed:trois-rivières,Trois-Rivières,1979-03-26
ocd-division/country:ca/province:qc/fed:vaudreuil-soulanges-2015,Vaudreuil—Soulanges,2015-08-02
ocd-division/country:ca/province:qc/fed:ville-marie-le_sud-ouest-île-des-soeurs,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,2015-08-02
ocd-division/country:ca/province:qc/fed:vimy,Vimy,2015-08-02
ocd-division/country:ca/province:sk/fed:battlefords-lloydminster,Battlefords—Lloydminster,1997-04-27
ocd-division/country:ca/province:sk/fed:carlton_trail-eagle_creek,Carlton Trail—Eagle Creek,2015-08-02
ocd-division/country:ca/province:sk/fed:cypress_hills-grasslands,Cypress Hills—Grasslands,1997-04-27
ocd-division/country:ca/province:sk/fed:desnethé-missinippi-churchill_river,Desnethé—Missinippi—Churchill River,2004-09-01
ocd-division/country:ca/province:sk/fed:moose_jaw-lake_centre-lanigan,Moose Jaw—Lake Centre—Lanigan,2015-08-02
ocd-division/country:ca/province:sk/fed:prince_albert-1997,Prince Albert,1997-04-27
ocd-division/country:ca/province:sk/fed:regina-lewvan,Regina—Lewvan,2015-08-02
ocd-division/country:ca/province:sk/fed:regina-qu~appelle-1998,Regina—Qu'Appelle,1998-06-18
ocd-division/country:ca/province:sk/fed:regina-wascana-2015,Regina—Wascana,2015-08-02
ocd-division/country:ca/province:sk/fed:saskatoon-grasswood,Saskatoon—Grasswood,2015-08-02
ocd-division/country:ca/province:sk/fed:saskatoon-university,Saskatoon—University,2015-08-02
ocd-division/country:ca/province:sk/fed:saskatoon_west-2015,Saskatoon West,2015-08-02
ocd-division/country:ca/province:sk/fed:souris-moose_mountain,Souris—Moose Mountain,1988-10-01
ocd-division/country:ca/province:sk/fed:yorkton-melville,Yorkton—Melville,1968-04-23
ocd-division/country:ca/territory:nt/fed:northwest_territories-2015,Northwest Territories,2015-08-02
ocd-division/country:ca/territory:nu/fed:nunavut,Nunavut,1999-04-01
ocd-division/country:ca/territory:yt/fed:yukon-1953,Yukon,1953-06-13
