id,name,name_fr,validFrom,validThrough
ocd-division/country:ca/ed:46012,Winnipeg North,Winnipeg-Nord,"",""
ocd-division/country:ca/ed:46013,Winnipeg South,Winnipeg-Sud,"",""
ocd-division/country:ca/ed:46014,Winnipeg South Centre,Winnipeg-Centre-Sud,"",""
ocd-division/country:ca/ed:47001,Battlefords—Lloydminster,Battlefords—Lloydminster,"",""
ocd-division/country:ca/ed:47002,Cypress Hills—Grasslands,Cypress Hills—Grasslands,"",""
ocd-division/country:ca/ed:47003,Desnethé—Missinippi—Churchill River,Desnethé—Missinippi—Rivière Churchill,"",""
ocd-division/country:ca/ed:47004,Carlton Trail—Eagle Creek,Sentier Carlton—Eagle Creek,"",""
ocd-division/country:ca/ed:47005,Moose Jaw—Lake Centre—Lanigan,Moose Jaw—Lake Centre—Lanigan,"",""
ocd-division/country:ca/ed:47006,Prince Albert,Prince Albert,"",""
ocd-division/country:ca/ed:47007,Regina—Lewvan,Regina—Lewvan,"",""
ocd-division/country:ca/ed:47008,Regina—Qu'Appelle,Regina—Qu'Appelle,"",""
ocd-division/country:ca/ed:47009,Regina—Wascana,Regina—Wascana,"",""
ocd-division/country:ca/ed:47010,Saskatoon—Grasswood,Saskatoon—Grasswood,"",""
ocd-division/country:ca/ed:47011,Saskatoon—University,Saskatoon—University,"",""
ocd-division/country:ca/ed:47012,Saskatoon West,Saskatoon-Ouest,"",""
ocd-division/country:ca/ed:47013,Souris—Moose Mountain,Souris—Moose Mountain,"",""
ocd-division/country:ca/ed:47014,Yorkton—Melville,Yorkton—Melville,"",""
ocd-division/country:ca/ed:48001,Banff—Airdrie,Banff—Airdrie,"",""
ocd-division/country:ca/ed:48002,Battle River—Crowfoot,Battle River—Crowfoot,"",""
ocd-division/country:ca/ed:48003,Bow River,Bow River,"",""
ocd-division/country:ca/ed:48004,Calgary Centre,Calgary-Centre,"",""
ocd-division/country:ca/ed:48005,Calgary Confederation,Calgary Confederation,"",""
ocd-division/country:ca/ed:48006,Calgary Forest Lawn,Calgary Forest Lawn,"",""
ocd-division/country:ca/ed:48007,Calgary Heritage,Calgary Heritage,"",""
ocd-division/country:ca/ed:48008,Calgary Midnapore,Calgary Midnapore,"",""
ocd-division/country:ca/ed:48009,Calgary Nose Hill,Calgary Nose Hill,"",""
ocd-division/country:ca/ed:48010,Calgary Rocky Ridge,Calgary Rocky Ridge,"",""
ocd-division/country:ca/ed:48011,Calgary Shepard,Calgary Shepard,"",""
ocd-division/country:ca/ed:48012,Calgary Signal Hill,Calgary Signal Hill,"",""
ocd-division/country:ca/ed:48013,Calgary Skyview,Calgary Skyview,"",""
ocd-division/country:ca/ed:48014,Edmonton Centre,Edmonton-Centre,"",""
ocd-division/country:ca/ed:48015,Edmonton Griesbach,Edmonton Griesbach,"",""
ocd-division/country:ca/ed:48016,Edmonton Manning,Edmonton Manning,"",""
ocd-division/country:ca/ed:48017,Edmonton Mill Woods,Edmonton Mill Woods,"",""
ocd-division/country:ca/ed:48018,Edmonton Riverbend,Edmonton Riverbend,"",""
ocd-division/country:ca/ed:48019,Edmonton Strathcona,Edmonton Strathcona,"",""
