id,name,validThrough,validFrom
ocd-division/country:kr/ed:sokcho_city-inje_county-goseong_county_and_yangyang_county,"Sokcho City, Inje County, Goseong County and Yangyang County",,
ocd-division/country:kr/ed:songpa_1,Songpa First,,
ocd-division/country:kr/ed:songpa_2,Songpa Second,,
ocd-division/country:kr/ed:songpa_3,Songpa Third,,
ocd-division/country:kr/ed:suncheon_city-gwangyang_city-gokseong_county_and_gurye_county_1,"Suncheon City, Gwangyang City, Gokseong County and Gurye County First",,
ocd-division/country:kr/ed:suncheon_city-gwangyang_city-gokseong_county_and_gurye_county_2,"Suncheon City, Gwangyang City, Gokseong County and Gurye County Second",,
ocd-division/country:kr/ed:suseong_district_1,Suseong District First,,
ocd-division/country:kr/ed:suseong_district_2,Suseong District Second,,
ocd-division/country:kr/ed:suwon_1,Suwon First,,
ocd-division/country:kr/ed:suwon_2,Suwon Second,,
ocd-division/country:kr/ed:suwon_3,Suwon Third,,
ocd-division/country:kr/ed:suwon_fifth,Suwon Fifth,,
ocd-division/country:kr/ed:suwon_fourth,Suwon Fourth,,
ocd-division/country:kr/ed:suyeong_district,Suyeong District,,
ocd-division/country:kr/ed:tongyeong_city_and_goseong_county,Tongyeong City and Goseong County,,
ocd-division/country:kr/ed:uijeongbu_city_1,Uijeongbu City First,,
ocd-division/country:kr/ed:uijeongbu_city_2,Uijeongbu City Second,,
ocd-division/country:kr/ed:uiwang_city_and_gwacheon_city,Uiwang City and Gwacheon City,,
ocd-division/country:kr/ed:ulju_county,Ulju County,,
ocd-division/country:kr/ed:ulsan_buk_district,Buk District (Ulsan),,
ocd-division/country:kr/ed:ulsan_dong_district,Dong District (Ulsan),,
ocd-division/country:kr/ed:ulsan_jung_district,Jung District (Ulsan),,
ocd-division/country:kr/ed:ulsan_nam_district_1,Nam District First (Ulsan),,
ocd-division/country:kr/ed:ulsan_nam_district_2,Nam District Second (Ulsan),,
ocd-division/country:kr/ed:wanju_county-jinan_county-muju_county,"Wanju County, Jinan County and Muju County",,2024-05-30
ocd-division/country:kr/ed:wanju_county-jinan_county-muju_county_and_jangsu_county,"Wanju County, Jinan County, Muju County and Jangsu County",2024-05-29,
ocd-division/country:kr/ed:west_district_and_east_district,West District and East District,,
ocd-division/country:kr/ed:wonju_city_1,Wonju City First,,
ocd-division/country:kr/ed:wonju_city_2,Wonju City Second,,
ocd-division/country:kr/ed:yangcheon_1,Yangcheon First,,
ocd-division/country:kr/ed:yangcheon_2,Yangcheon Second,,
ocd-division/country:kr/ed:yangju_city,Yangju City,2024-05-29,
ocd-division/country:kr/ed:yangsan_city_1,Yangsan City First,,
ocd-division/country:kr/ed:yangsan_city_2,Yangsan City Second,,
ocd-division/country:kr/ed:yeoju_city_and_yangpyeong_county,Yeoju City and Yangpyeong County,,
ocd-division/country:kr/ed:yeongam_county-muan_county_and_sinan_islands,"Yeongam County, Muan County and Sinan Islands",,
ocd-division/country:kr/ed:yeongcheon_city_and_cheongdo_county,Yeongcheon City and Cheongdo County,,
ocd-division/country:kr/ed:yeongdeungpo_1,Yeongdeungpo First,,
ocd-division/country:kr/ed:yeongdeungpo_2,Yeongdeungpo Second,,
ocd-division/country:kr/ed:yeongju_city-yeongyang_county-bonghwa_county_and_uljin_county,"Yeongju City, Yeongyang County, Bonghwa County and Uljin County",,
ocd-division/country:kr/ed:yeonje_district,Yeonje District,,
ocd-division/country:kr/ed:yeonsu_district_1,Yeonsu District First,,
ocd-division/country:kr/ed:yeonsu_district_2,Yeonsu District Second,,
ocd-division/country:kr/ed:yeosu_city_1,Yeosu City First,,
ocd-division/country:kr/ed:yeosu_city_2,Yeosu City Second,,
ocd-division/country:kr/ed:yongin_city_1,Yongin City First,,
ocd-division/country:kr/ed:yongin_city_2,Yongin City Second,,
ocd-division/country:kr/ed:yongin_city_3,Yongin City Third,,
ocd-division/country:kr/ed:yongin_city_four,Yongin City Four,,
ocd-division/country:kr/ed:yongsan,Yongsan,,
ocd-division/country:kr/ed:yuseong_district_1,Yuseong District First,,
ocd-division/country:kr/ed:yuseong_district_2,Yuseong District Second,,
ocd-division/country:kr/metropolitan_city:26,Busan,,
ocd-division/country:kr/metropolitan_city:27,Daegu,,
ocd-division/country:kr/metropolitan_city:28,Incheon,,
ocd-division/country:kr/metropolitan_city:29,Gwangju,,
ocd-division/country:kr/metropolitan_city:30,Daejeon,,
ocd-division/country:kr/metropolitan_city:31,Ulsan,,
ocd-division/country:kr/province:41,Gyeonggi-do,,
ocd-division/country:kr/province:42,Gangwon-do,,
ocd-division/country:kr/province:43,Chungcheongbuk-do,,
ocd-division/country:kr/province:44,Chungcheongnam-do,,
ocd-division/country:kr/province:45,Jeollabuk-do,,
ocd-division/country:kr/province:46,Jeollanam-do,,
ocd-division/country:kr/province:47,Gyeongsangbuk-do,,
ocd-division/country:kr/province:48,Gyeongsangnam-do,,
ocd-division/country:kr/province:49,Jeju Special Self-governing Province,,
ocd-division/country:kr/special_city:11,Seoul,,
ocd-division/country:kr/special_self_governing_city:50,Sejong,,
