id,state_id
ocd-division/country:us/state:mn/place:mankato/ward:4/precinct:13,155
ocd-division/country:us/state:mn/place:mankato/ward:5/precinct:1,100
ocd-division/country:us/state:mn/place:mankato/ward:5/precinct:2,105
ocd-division/country:us/state:mn/place:mankato/ward:5/precinct:3,106
ocd-division/country:us/state:mn/place:mankato/ward:5/precinct:4,110
ocd-division/country:us/state:mn/place:mankato/ward:5/precinct:5,115
ocd-division/country:us/state:mn/place:mankato/ward:5/precinct:6,120
ocd-division/country:us/state:mn/county:blue_earth/place:mankato/precinct:1,195
ocd-division/country:us/state:mn/county:blue_earth/place:mankato/precinct:2,197
ocd-division/country:us/state:mn/place:mapleton,200
ocd-division/country:us/state:mn/county:blue_earth/place:mapleton,205
ocd-division/country:us/state:mn/county:blue_earth/place:mcpherson,90
ocd-division/country:us/state:mn/county:blue_earth/place:medo,210
ocd-division/country:us/state:mn/place:minnesota_lake/precinct:blue_earth,212
ocd-division/country:us/state:mn/place:north_mankato,213
ocd-division/country:us/state:mn/place:pemberton,215
ocd-division/country:us/state:mn/county:blue_earth/place:pleasant_mound,220
ocd-division/country:us/state:mn/county:blue_earth/place:rapidan,225
ocd-division/country:us/state:mn/place:st_clair,230
ocd-division/country:us/state:mn/county:blue_earth/place:shelby,235
ocd-division/country:us/state:mn/place:skyline,240
ocd-division/country:us/state:mn/county:blue_earth/place:south_bend,245
ocd-division/country:us/state:mn/county:blue_earth/place:sterling,250
ocd-division/country:us/state:mn/place:vernon_center,255
ocd-division/country:us/state:mn/county:blue_earth/place:vernon_center,260
ocd-division/country:us/state:mn/county:brown/place:albin,5
ocd-division/country:us/state:mn/county:brown/place:bashaw,10
ocd-division/country:us/state:mn/county:brown/place:burnstown,15
ocd-division/country:us/state:mn/place:cobden,20
ocd-division/country:us/state:mn/place:comfrey/precinct:brown,25
ocd-division/country:us/state:mn/county:brown/place:cottonwood,30
ocd-division/country:us/state:mn/county:brown/place:eden,35
ocd-division/country:us/state:mn/place:evan,40
ocd-division/country:us/state:mn/place:hanska,45
ocd-division/country:us/state:mn/county:brown/place:home,50
ocd-division/country:us/state:mn/county:brown/place:lake_hanska,55
ocd-division/country:us/state:mn/county:brown/place:leavenworth,60
ocd-division/country:us/state:mn/county:brown/place:linden,65
ocd-division/country:us/state:mn/county:brown/place:milford,70
ocd-division/country:us/state:mn/county:brown/place:mulligan,75
ocd-division/country:us/state:mn/place:new_ulm/ward:1/precinct:1,80
ocd-division/country:us/state:mn/place:new_ulm/ward:1/precinct:2,85
ocd-division/country:us/state:mn/place:new_ulm/ward:2/precinct:1,90
ocd-division/country:us/state:mn/place:new_ulm/ward:2/precinct:2,95
ocd-division/country:us/state:mn/place:new_ulm/ward:3/precinct:1,100
ocd-division/country:us/state:mn/place:new_ulm/ward:3/precinct:2,105
ocd-division/country:us/state:mn/place:new_ulm/ward:4/precinct:1,110
ocd-division/country:us/state:mn/place:new_ulm/ward:4/precinct:2,115
ocd-division/country:us/state:mn/county:brown/place:north_star,120
ocd-division/country:us/state:mn/county:brown/place:prairieville,125
ocd-division/country:us/state:mn/county:brown/place:sigel,130
ocd-division/country:us/state:mn/place:sleepy_eye/ward:1,135
ocd-division/country:us/state:mn/place:sleepy_eye/ward:2,140
ocd-division/country:us/state:mn/place:springfield/ward:1,145
ocd-division/country:us/state:mn/place:springfield/ward:2,150
ocd-division/country:us/state:mn/county:brown/place:stark,155
ocd-division/country:us/state:mn/county:brown/place:stately,160
ocd-division/country:us/state:mn/county:carlton/place:atkinson,5
ocd-division/country:us/state:mn/county:carlton/place:automba,10
ocd-division/country:us/state:mn/place:barnum,15
ocd-division/country:us/state:mn/county:carlton/place:barnum,20
ocd-division/country:us/state:mn/county:carlton/place:beseman,25
ocd-division/country:us/state:mn/county:carlton/place:blackhoof,30
ocd-division/country:us/state:mn/place:carlton,35
ocd-division/country:us/state:mn/county:carlton/precinct:clear_creak,68
ocd-division/country:us/state:mn/place:cloquet/ward:1,40
ocd-division/country:us/state:mn/place:cloquet/ward:2,45
ocd-division/country:us/state:mn/place:cloquet/ward:3,50
ocd-division/country:us/state:mn/place:cloquet/ward:4,55
ocd-division/country:us/state:mn/place:cloquet/ward:5/precinct:1,60
ocd-division/country:us/state:mn/place:cloquet/ward:5/precinct:2,65
ocd-division/country:us/state:mn/county:carlton/precinct:corona,70
ocd-division/country:us/state:mn/place:cromwell,75
ocd-division/country:us/state:mn/county:carlton/place:eagle,80
ocd-division/country:us/state:mn/county:carlton/place:holyoke,85
ocd-division/country:us/state:mn/county:carlton/place:kalevala,90
ocd-division/country:us/state:mn/place:kettle_river,95
ocd-division/country:us/state:mn/county:carlton/place:lakeview,100
ocd-division/country:us/state:mn/county:carlton/place:mahtowa,105
ocd-division/country:us/state:mn/place:moose_lake,110
ocd-division/country:us/state:mn/county:carlton/place:moose_lake,115
ocd-division/country:us/state:mn/county:carlton/place:perch_lake,120
ocd-division/country:us/state:mn/county:carlton/precinct:progress,118
ocd-division/country:us/state:mn/county:carlton/precinct:red_clover,125
