id,county_id
ocd-division/country:us/state:ky/county:bullitt/precinct:d109-shepherdsville_2-north,D109
ocd-division/country:us/state:ky/county:bullitt/precinct:d110-pleasant_grove_4,D110
ocd-division/country:us/state:ky/county:bullitt/precinct:d111-salt_river_17a,D111
ocd-division/country:us/state:ky/county:bullitt/precinct:d113-beech_grove_17b,D113
ocd-division/country:us/state:ky/county:bullitt/precinct:d114-beech_grove_17c,D114
ocd-division/country:us/state:ky/county:butler/precinct:a110-east_morgantown,A110
ocd-division/country:us/state:ky/county:butler/precinct:a111-west_morgantown,A111
ocd-division/country:us/state:ky/county:butler/precinct:b106-south_second,B106
ocd-division/country:us/state:ky/county:butler/precinct:b107-north_second,B107
ocd-division/country:us/state:ky/county:butler/precinct:c103-little_bend,C103
ocd-division/country:us/state:ky/county:butler/precinct:c106-south_third,C106
ocd-division/country:us/state:ky/county:butler/precinct:c107-north_third,C107
ocd-division/country:us/state:ky/county:butler/precinct:d103-aberdeen,D103
ocd-division/country:us/state:ky/county:butler/precinct:d105-west_fourth,D105
ocd-division/country:us/state:ky/county:butler/precinct:d106-east_fourth,D106
ocd-division/country:us/state:ky/county:butler/precinct:e105-south_fifth,E105
ocd-division/country:us/state:ky/county:butler/precinct:e106-north_fifth,E106
ocd-division/country:us/state:ky/county:caldwell/precinct:a101-fredonia,A101
