id,sameAs,sameAsNote
ocd-division/country:us/state:in/county:perry/commissioner_district:2,ocd-division/country:us/state:in/county:perry/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:perry/commissioner_district:3,ocd-division/country:us/state:in/county:perry/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:pike/commissioner_district:1,ocd-division/country:us/state:in/county:pike/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:pike/commissioner_district:2,ocd-division/country:us/state:in/county:pike/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:pike/commissioner_district:3,ocd-division/country:us/state:in/county:pike/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:porter/commissioner_district:center,ocd-division/country:us/state:in/county:porter/executive_district:center,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:porter/commissioner_district:north,ocd-division/country:us/state:in/county:porter/executive_district:north,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:porter/commissioner_district:south,ocd-division/country:us/state:in/county:porter/executive_district:south,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:posey/commissioner_district:1,ocd-division/country:us/state:in/county:posey/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:posey/commissioner_district:2,ocd-division/country:us/state:in/county:posey/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:posey/commissioner_district:3,ocd-division/country:us/state:in/county:posey/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:pulaski/commissioner_district:1,ocd-division/country:us/state:in/county:pulaski/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:pulaski/commissioner_district:2,ocd-division/country:us/state:in/county:pulaski/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:pulaski/commissioner_district:3,ocd-division/country:us/state:in/county:pulaski/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:putnam/commissioner_district:1,ocd-division/country:us/state:in/county:putnam/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:putnam/commissioner_district:2,ocd-division/country:us/state:in/county:putnam/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:putnam/commissioner_district:3,ocd-division/country:us/state:in/county:putnam/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:ripley/commissioner_district:1,ocd-division/country:us/state:in/county:ripley/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:ripley/commissioner_district:2,ocd-division/country:us/state:in/county:ripley/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:ripley/commissioner_district:3,ocd-division/country:us/state:in/county:ripley/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:scott/commissioner_district:1,ocd-division/country:us/state:in/county:scott/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:scott/commissioner_district:2,ocd-division/country:us/state:in/county:scott/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:scott/commissioner_district:3,ocd-division/country:us/state:in/county:scott/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:spencer/commissioner_district:1,ocd-division/country:us/state:in/county:spencer/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:spencer/commissioner_district:2,ocd-division/country:us/state:in/county:spencer/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:spencer/commissioner_district:3,ocd-division/country:us/state:in/county:spencer/executive_district:3,better type name – hope to deprecate commissioner_district
